Título en español;Título original;Fecha de estreno;$ Inversión ;$ Recaudación 
El príncipe de Persia: Las arenas del tiempo;Prince of Persia: The Sands of Time;2010;150;96971361
Toy Story 3;Toy Story 3;2010;"
200000000";"
443408255"
El aprendiz de brujo;The Sorcerer's Apprentice;2010;"
150000000";"
67473105"
El misterio del los flamencos;The Crimson Wing: Mystery of the Flamingos;2010;;1783519
Campeón / Secretariat;Secretariat;2010;"
35000000";63781920
Do Dooni Chaar;Do Dooni Chaar;2010;;
Enredados;Tangled;2010;"
260000000";"
214388548"
Tron: El legado / Tron: Legacy;Tron: Legacy;2010;"
150000000";"
183619259"
Anaganaga O Dheerudu;Anaganaga O Dheerudu;2010;"
3800000";
Kika superbruja 2: el viaje a Mandolán;Lilly the Witch: The Journey to Mandolan;2010;;
Marte necesita mamás;Mars Needs Moms;2011;"
150000000";"
22741603"
Zokkomon;Zokkomon;2011;;3000
Felinos de África;African Cats;2011;"
5000000";16401551
Fin de curso;Prom;2011;8000000;"
10768946"
Piratas del Caribe: Navegando en aguas misteriosas / Piratas del Caribe:En mareas misteriosas;Pirates of the Caribbean: On Stranger Tides;2011;"
410600000";256263359
Cars 2;Cars 2;2011;"
200000000";"
203522177"
Winnie the Pooh;Winnie the Pooh;2011;"
30000000";"
28375869"
Los Muppets;The Muppets;2011;"
45000000";94189503
John Carter;John Carter of Mars;2012;"
306600000";"
77372445"
Chimpancés;Chimpanzee;2012;"
5000000";"
30675725"
Arjun: El príncipe guerrero;Arjun: The Warrior Prince;2012;;10017
Valiente / Indomable;Brave;2012;185000000;"
251292441"
La extraña vida de Timothy Green;The Odd Life of Timothy Green;2012;"
25000000";"
54914942"
Frankenweenie;Frankenweenie;2012;"
39000000";37363513
Ralph el demoledor / ¡Rompe Ralph!;Wreck-It-Ralph;2012;"
165000000";"
200354959"
Tinker Bell y el secreto de las hadas / Campanilla y el secreto de las hadas;Secret of the Wings;2012;35000000;627018
Oz, el poderoso / Oz: Un mundo de fantasía;Oz: The Great and Powerful;2013;"
200000000";493311825
Alas de vida;Wings of Life;2013;;192467
Monsters University / Monstruos University;Monsters University;2013;200000000;"
278395641"
El llanero solitario;The Lone Ranger;2013;"
225000000";"
92597388"
Aviones;Planes;2013;"
50000000";"
93614037"
Frozen: Una Aventura Congelada / Frozen: El reino de hielo;Frozen;2013;150000000;"
414997174"
El sueño de Walt / Al encuentro de Mr. Banks;Saving Mr. Banks;2013;35000000;"
86249969"
Muppets 2: Los más buscados / El tour de los Muppets;Muppets Most Wanted;2014;"
51000000";"
52807594"
Osos;Bears;2014;"
5000000";"
18346024"
Un golpe de talento;Million Dollar Arm;2014;25000000;"
37607865"
Maléfica;Maleficent;2014;"
180000000";"
249089809"
Aviones 2: Equipo de Rescate / Aviones: Equipo de Rescate;Planes: Fire & Rescue;2014;"
50000000";61040349
Tinker Bell: Hadas y piratas / Campanilla: Hadas y piratas;The Pirate Fairy;2014;;63998725
Grandes Héroes / Big Hero 6;Big Hero 6;2014;"
165000000";229249222
Alexander y un día terrible, horrible, malo... ¡muy malo! / Alexander y el día terrible, horrible, espantoso, horroroso;Alexander and the Terrible, Horrible, No Good, Very Bad Day;2014;"
28000000";"
69055550"
En el bosque / Into the Woods;Into the Woods;2014;"
50000000";"
130894237"
McFarland, sin límites;McFarland, USA;2015;25000000;"
44480275"
La Cenicienta;Cinderella;2015;"
95000000";201151353
El Reino de los Monos;Monkey Kingdom;2015;"
5000000";"
16432322"
Tomorrowland: El mundo del mañana;Tomorrowland;2015;"
180000000";"
93436322"
Intensa-Mente / Del Revés;Inside Out;2015;"
175000000";"
356461711"
Descendientes;Descendants;2015;;
Un Gran Dinosaurio / El viaje de Arlo;The Good Dinosaur;2015;"
175000000";123087120
Horas contadas / La hora decisiva;The Finest Hours;2016;70000000;"
27569558"
Zootopia / Zootrópolis;Zootopia;2016;"
150000000";"
341268248"
El libro de la selva;The Jungle Book;2016;"
175000000";"
364001123"
Alicia a través del espejo;Alice Through the Looking Glass;2016;"
170000000";77042381
