Título en español;Título original;Fecha de estreno;$ Inversión ;$ Recaudación 
Tini: El gran cambio de Violetta;Tini: El Gran Cambio De Violetta;2016;17000000;17000172
El buen amigo gigante / Mi gran amigo el gigante;The BFG;2016;140000000;
Buscando a Dory;Finding Dory;2016;"
175000000";"
486295561"
Mi amigo el dragón / Peter y el dragón;Pete's Dragon;2016;"
65000000";55483770
Reina de Katwe;Queen of Katwe;2016;"
15000000";"
8874389"
Moana: Un mar de aventuras / Vaiana;Moana;2016;"
150000000";"
246082029"
Growing Up Wild;Growing Up Wild;2016;;
Dangal;Dangal;2016;;
La bella y la bestia;Beauty and the Beast;2017;160000000;1266115964
La marcha de los pingüinos 2;L'Empereur;2017;;2323262
Nacidos en China;Born in China;2017;"
5000000";
Piratas del Caribe: La venganza de Salazar;Pirates of the Caribbean: Dead Men Tell No Tales;2017;"
230000000";795922298
Cars 3;Cars 3;2017;"
175000000";383930656
Ghost of the Mountains;Ghost of the Mountains;2017;;
Jagga Jasoos;Jagga Jasoos;2017;;1154862
Coco;Coco;2017;"
175000000";814641172
Expedition China;Expedition China;2017;;
Un viaje en el tiempo / Un pliegue en el tiempo;A Wrinkle in Time;2018;"
100000000";132675864
Los Increíbles 2;Incredibles 2;2018;"
200000000";1243225667
Christopher Robin;Christopher Robin;2018;"
75000000";197744825
El Cascanueces y los cuatro reinos;The Nutcracker and the Four Realms;2018;"
120000000";173961069
Wi-Fi Ralph / Ralph Rompe Internet;Ralph Breaks the Internet;2018;"
175000000";529323962
El Regreso de Mary Poppins;Mary Poppins Returns;2018;"
130000000";362529106
Dumbo;Dumbo;2019;170000000;353284621
Pingüinos;Penguins;2019;;7699452
Aladdín;Aladdin;2019;183000000;1054304000
Toy Story 4;Toy Story 4;2019;"
200000000";1073841394
El Rey León;The Lion King;2019;"
250000000";1662020819
Maléfica: Dueña del Mal / Maléfica: Maestra del Mal;Maleficent: Mistress of Evil;2019;"
185000000";491730089
La Dama y el Vagabundo;Lady and the Tramp;2019;"
60000000";
Noelle;Noelle;2019;;
Frozen II;Frozen II;2019;150000000;1453683476
Togo;Togo;2019;"
40000000";
Las aventuras de Timmy Fracaso / DeSastre y Total: Agencia de detectives nº 1;Timmy Failure: Mistakes Were Made;2020;45000000;
Unidos / Onward;Onward;2020;175000000;141888276
Stargirl;Stargirl;2020;;
Magic Camp: Campamento Mágico;Magic Camp;2020;24000000;
Phineas y Ferb, la película: Candace contra el Universo;Phineas and Ferb the Movie: Candace Against the Universe;2020;;5689121
Artemis Fowl: El Mundo Subterráneo;Artemis Fowl;2020;"
125000000";
Hamilton;Hamilton;2020;"
12500000";
El Único y Gran Iván / El Magnífico Iván;The One and Only Ivan;2020;;
Mulán;Mulan;2020;"
200000000";69965374
Sociedad Secreta de Hijos Reales / El club secreto de los no herederos al trono;Secret Society of Second-Born Royals;2020;;
Belleza Negra;Black Beauty;2020;24000000;
Amandrihada;Godmothered;2020;;
Safety: La última línea de Defensa;Safety;2020;;
Soul;Soul;2020;"
150000000";121977511
Flora y Ulises;Flora and Ulysses;2021;;
Raya y el Último Dragón;Raya and the Last Dragon;2021;;130423032
Cruella;Cruella;2021;100000000;233503234
Luca;Luca;2021;;51074773
Jungle Cruise;Jungle Cruise;2021;200000000;220889446
Encanto;Encanto;2021;50000000;261292688
El diario de Greg;Diary of a Wimpy Kid;2021;;
La era de hielo: Las aventuras de Buck / Ice Age: Las Aventuras de Buck;The Ice Age Adventures of Buck Wild;2022;63000000;
Sneakerella;Sneakerella;2022;;
Red;Turning Red;2022;175000000;21813358
Más barato por docena / Doce en casa;Cheaper by the Dozen;2022;;
Chip y Dale al rescate / Chip y Chop: los guardianes rescatadores;Chip 'n' Dale: Rescue Rangers;2022;70000000;62319
Stargirl en Hollywood;Hollywood Stargirl;2022;;
Lightyear;Lightyear;2022;200000000;226425420
Pinocho;Pinocchio;2022;150000000;33731
Abracadabra 2 / El Retorno de las Brujas 2;Hocus Pocus 2;2022;100000000;
Desencantada;Disenchanted;2022;;
Un Mundo Extraño / Mundo extraño;Strange World;2022;120000000;73621640
Una noche en el museo: el regreso de Kahmunrah / Noche en el museo: El retorno de Kahmunrah;Night at the Museum: Kahmunrah Rises Again;2022;;
Peter Pan & Wendy;Peter Pan & Wendy;2023;;
La Sirenita;The Little Mermaid;2023;355100000;569626289
Elementos / Elemental;Elemental;2023;200000000;496444308
Mansión Embrujada / Mansión Encantada;Haunted Mansion;2023;150000000;117449790
Wish: El poder de los deseos;Wish;2023;200000000;254997360
Intensa-Mente 2 / Del revés 2;Inside Out 2;2024;200000000;1698863816
Moana 2 / Vaiana 2;Moana 2;2024;150000000 ;1059242164
Mufasa: El Rey León;Mufasa: The Lion King;2024;200000000;722631756
Blanca Nieves / Blancanieves;Snow White;2025;250000000;205679463
Lilo y Stitch;Lilo & Stitch;2025;100000000;1036701218
Elio;Elio;2025;150000000;154075778
Otro viernes de locos / Ponte en mi lugar de nuevo;Freakier Friday;2025;42000000;149925788
